Tittel,NDLA node id,"bilde url hvis ikke første fra artikkel brukes, evt. nytt utsnitt","Labels for ""subject"" (Fag)","Labels for ""category"" (Kategori)","Labels for  ""fyll inn selv""","Labels for ""fyll inn selv""","Labels for ""fyll inn selv""","Labels for ""fyll inn selv""","labels for """" (tomt blir til Annet)"
Agurk veksthus,81538,,Naturbruk,Frukt og grønt,,,,,,,
Aronia,145175,,Naturbruk,Frukt og grønt,,,,,,,
Asparges grønn,81541,,Naturbruk,Frukt og grønt,,,,,,,
Asparges hvit,81543,,Naturbruk,Frukt og grønt,,,,,,,
Bjørnebær,81924,,Naturbruk,Ville vekster,,,,,,,
Blomkål,81547,,Naturbruk,Frukt og grønt,,,,,,,
Blåbær,81926,,Naturbruk,Ville vekster,,,,,,,
Bringebær,81930,,Naturbruk,"Ville vekster, Frukt og grønt",,,,,,,
Brokkoli,81551,,Naturbruk,Frukt og grønt,,,,,,,
Bønner,81561,,Naturbruk,Frukt og grønt,,,,,,,
Eple,81551,,Naturbruk,Frukt og grønt,,,,,,,
Fennikel,81859,,Naturbruk,Frukt og grønt,,,,,,,
Gresskar,81614,,Naturbruk,Frukt og grønt,,,,,,,
Grønnkål,81624,,Naturbruk,Frukt og grønt,,,,,,,
Gulrot,81616,,Naturbruk,Frukt og grønt,,,,,,,
Hodekål,81627,,Naturbruk,Frukt og grønt,,,,,,,
"Nykål,tidligkål",81652,,Naturbruk,Frukt og grønt,,,,,,,
Jordbær,81932,,Naturbruk,Frukt og grønt,,,,,,,
Jordskokk,81888,,Naturbruk,Frukt og grønt,,,,,,,
Kinakål,81629,,Naturbruk,Frukt og grønt,,,,,,,
Kirsebær,81406,,Naturbruk,Frukt og grønt,,,,,,,
knollselleri,81833,,Naturbruk,Frukt og grønt,,,,,,,
Knutekål,81631,,Naturbruk,Frukt og grønt,,,,,,,
Kålrot,81654,,Naturbruk,Frukt og grønt,,,,,,,
Løk,81664,,Naturbruk,Frukt og grønt,,,,,,,
Mangold,145371,,Naturbruk,Frukt og grønt,,,,,,,
Moreller,81504,,Naturbruk,Frukt og grønt,,,,,,,
Molter,81997,,Naturbruk,Ville vekster,,,,,,,
Nepe,81900,,Naturbruk,Frukt og grønt,,,,,,,
Pastinakk,81904,,Naturbruk,Frukt og grønt,,,,,,,
Persillerot,81738,,Naturbruk,Frukt og grønt,,,,,,,
Plomme,81277,,Naturbruk,Frukt og grønt,,,,,,,
Potet,149012,,Naturbruk,Frukt og grønt,,,,,,,
Purre,81672,,Naturbruk,Frukt og grønt,,,,,,,
pære,81282,,Naturbruk,Frukt og grønt,,,,,,,
Ramsløk,145195,,Naturbruk,Ville vekster,,,,,,,
Rognebær,145399,,Naturbruk,Ville vekster,,,,,,,
Romanesco,81640,,Naturbruk,Frukt og grønt,,,,,,,
Rabarbra,81516,,Naturbruk,Frukt og grønt,,,,,,,
Reddik,81767,,Naturbruk,Frukt og grønt,,,,,,,
Rips,82000,,Naturbruk,Frukt og grønt,,,,,,,
Rosenkål,81642,,Naturbruk,Frukt og grønt,,,,,,,
Rødbete ,81769,,Naturbruk,Frukt og grønt,,,,,,,
Rødkål,81644,,Naturbruk,Frukt og grønt,,,,,,,
Rødløk,81714,,Naturbruk,Frukt og grønt,,,,,,,
Salat,81642,,Naturbruk,Frukt og grønt,,,,,,,
