Tittel,NDLA node id,"bilde url hvis ikke første fra artikkel brukes, evt. nytt utsnitt","Labels for ""subject"" (Fag)","Labels for ""category"" (Kategori)","Labels for  ""fyll inn selv""","Labels for ""fyll inn selv""","Labels for ""fyll inn selv""","Labels for ""fyll inn selv""","labels for """" (tomt blir til Annet)"
Armeringskutter,169909,,betongfaget,El-håndverktøy,,,,,
Bajonettsag,170166,,murerfaget,El-håndverktøy,,,,,
Batteridrill,169834,,betongfaget,El-håndverktøy,,,,,
Bitssett,169837,,betongfaget,El-håndverktøy,,,,,
Bor,169819,,betongfaget,Håndverktøy,,,,,
Brekkjern,170007,,betongfaget,Håndverktøy,,,,,
Brett av plast,170133,,murerfaget,Håndverktøy,,,,,
Brett for flislim,170140,,murerfaget,Håndverktøy,,,,,
Brett for fugemasse til flis,170142,,murerfaget,Håndverktøy,,,,,
Firkantkost,170155,,murerfaget,Håndverktøy,,,,,
Firkantskje,170122,,murerfaget,Håndverktøy,,,,,
Flisebrett,170138,,murerfaget,Håndverktøy,,,,,
Fliskutter,170161,,murerfaget,Håndverktøy,,,,,
Fugepinne,170126,,murerfaget,Håndverktøy,,,,,
Fugeskje,170124,,murerfaget,Håndverktøy,,,,,
Fugesnorer,170163,,murerfaget,Håndverktøy,,,,,
Fugesvamp,170144,,murerfaget,Håndverktøy,,,,,
Gjerdesag,169896,,"betongfaget, tømrerfaget, trelastfaget, innredningsfaget",Maskiner,,,,,
Glattemaskin,169914,,betongfaget,Maskiner,,,,,
Glatteskjeer,169916,,betongfaget,Håndverktøy,,,,,
Glattsverd,170136,,murerfaget,Håndverktøy,,,,,
Hammer,170013,,betongfaget,Håndverktøy,,,,,
Håndsag,170015,,betongfaget,Håndverktøy,,,,,
Håndsirkelsag,169831,,betongfaget,El-håndverktøy,,,,,
Jernbindemaskin,169920,,betongfaget,El-håndverktøy,,,,,
Jernbindertang,170005,,betongfaget,Håndverktøy,,,,,
Jernsaks,169900,,betongfaget,Håndverktøy,,,,,
Kikkertstativ,170019,,"betongfaget, tømrerfaget",Måleverktøy,,,,,
Klubbe og meisel,169904,,betongfaget,Håndverktøy,,,,,
Kniv,170011,,betongfaget,Håndverktøy,,,,,
Knivar,170299,,tømrerfaget,Håndverktøy,,,,,
Krittsnor,170025,,"betongfaget, tømrerfaget",Håndverktøy,,,,,
Lodd og retningssnor,170023,,"betongfaget, tømrerfaget",Håndverktøy,,,,,
Målebånd,169583,,betongfaget,Håndverktøy,,,,,
Målebånd,169583,,tømrerfaget,Håndverktøy,,,,,
Meterstokk og blyant,169572,,"betongfaget, tømrerfaget",Håndverktøy,,,,,
Murhammer,170118,,murerfaget,Håndverktøy,,,,,
Murskje,170120,,murerfaget,Håndverktøy,,,,,
Murstamp,170159,,murerfaget,Håndverktøy,,,,,
Nivellerkikkert og stang,170017,,"betongfaget, tømrerfaget",Måleverktøy,,,,,
Øks,170009,,betongfaget,Håndverktøy,,,,,
Overkappsag,170032,,tømrerfaget,Maskiner,,,,,
Papegøyetang,170153,,murerfaget,Håndverktøy,,,,,
Punkt- og linjelaser,170021,,"betongfaget, tømrerfaget",Måleverktøy,,,,,
Pusseskje,170128,,murerfaget,Håndverktøy,,,,,
Rettholt,169821,,betongfaget,Måleverktøy,,,,,
Skiftenøkkel,169898,,betongfaget,Måleverktøy,,,,,
Slagbormaskin,169882,,betongfaget,El-håndverktøy,,,,,
Spett,169906,,betongfaget,Håndverktøy,,,,,
Spett m vinkel,172064,,betongfaget,Håndverktøy,,,,,
Spett m vinkel,172065,,betongfaget,Håndverktøy,,,,,
Stålbrett,170131,,murerfaget,Håndverktøy,,,,,
Stemjern,170030,,tømrerfaget,Håndverktøy,,,,,
Stikksag,169886,,betongfaget,El-håndverktøy,,,,,
Tvangsblander,170157,,murerfaget,Maskiner,,,,,
Utstyr for å bøye armering,170027,,betongfaget,Håndverktøy,,,,,
Vater,169588,,"betongfaget, tømrerfaget",Måleverktøy,,,,,
Vibrator,169912,,betongfaget,El-håndverktøy,,,,,
Vinkel,169924,,"betongfaget, tømrerfaget",Måleverktøy,,,,,
Vinkelsliper,169922,,betongfaget,El-håndverktøy,,,,,
